sender_id	sms_type	sender	rep_sender
89	2	15889200	미래에셋대우
90	2	15882323	삼성증권
92	0	com.hanaskcard.paycla	하나
93	2	15661717	동부증권
94	2	15778000	신한
95	2	15884500	BC우리
96	2	18001111	하나
97	2	15660400	유안타
98	2	15440000	농협
99	2	15663100	KDB
100	2	15881788	KB
101	2	15883400	메리츠
102	2	15446200	BNK
103	2	622395000	광주
104	2	15889955	BC우리
105	2	16611111	갤러리아
106	2	15776200	현대
107	2	15881515	수협
108	2	15881900	우체국
109	2	15884000	BC우리
111	2	15888900	삼성
112	2	15662210	SBI
113	2	16008585	경남
114	2	18991122	하나저축
115	2	15882788	KB
117	2	18779900	고려저축
119	2	16610001	웰컴저축
120	2	15662566	기업
121	2	15665050	DGB
122	2	15999000	새마을
123	2	15886300	유진투자
126	2	15661000	씨티
127	2	15886611	KB증권
129	2	15881599	SC제일
130	2	15884477	전북
131	2	15883111	하나
133	2	64202100	하이투자
134	2	15662224	교보증권
135	2	15666202	맥스
136	2	15668444	유진투자
137	2	316304007	새마을
138	2	15886800	미래에셋대우
139	0	com.shinhan.smartcaremgr	신한
140	2	15997000	KB증권
141	2	15666000	신협
142	2	647460607	제주
144	2	15884488	대신증권
146	2	15444000	NH농협생명
147	2	15449000	키움증권
149	2	15999999	KB
150	0	kr.co.citibank.citimobile	씨티
151	0	com.shinhan.mobilebankbook	신한
152	2	15221155	케이뱅크
153	2	15442100	농협
154	2	18004300	세종저축
155	0	com.shinhaninvest.mts	신한
156	2	15440900	교보증권
157	0	kr.co.bsbank.mobilebank	BNK
158	0	com.epost.psf.ss	우체국
159	0	com.kbstar.liivkbcambodia	KB
163	0	com.wooriwm.txsmart	농협
164	0	com.wooriwm.mugsmart	농협
165	2	15448333	한국증권
184	2	01063458704	KB
189	0	com.skplanet.syrup.notisender	ALL
190	2	신영증권	신영증권
191	2	647442111	제주
192	2	15221000	케이뱅크
193	2	647485445	제주
194	2	647380315	제주
195	2	647529677	제주
196	2	15667300	BC우리
197	2	15220039	농협
198	2	37051700	동부저축
199	2	16440052	OSB
200	0	com.kakaobank.channel	카카오
201	2	647114611	제주
206	2	529202100	하이투자
207	2	15887171	하이투자
208	2	522016111	하이투자
209	2	557463381	하이투자
210	2	619832100	하이투자
211	2	529016100	하이투자
212	2	556488511	하이투자
213	2	63232100	하이투자
214	2	322322100	하이투자
215	2	537532111	하이투자
216	2	7861600	하이투자
217	2	62066100	하이투자
218	2	519987100	하이투자
219	2	515575111	하이투자
220	2	519227900	하이투자
221	2	26458111	하이투자
222	2	5929111	하이투자
223	2	16708245	SK증권
224	2	512083111	하이투자
226	2	556088100	하이투자
227	0	com.woori.bizcard	BC우리
228	2	15444488	대신증권
229	2	15223311	신세계
230	2	15993333	카카오
231	2	647466197	제주
232	2	647380737	제주
233	2	95588	工商银行
234	0	com.kakao.talk	카카오
235	2	647462196	제주
236	0	com.shinhaninvest.nsmts	신한
237	2	21229457	하이투자
238	0	com.suhyup.psmb	수협
239	0	37738245	SK증권
240	0	ShinhanINDO	신한
241	0	CitibankHK	씨티
243	2	0269426478	농협
246	0	com.hanafn.push.agent	하나
247	0	kr.co.dgb.dgbfium	DGB
248	0	nh.smart.nhcok	농협
250	0	com.miraeasset.smartpush	미래에셋대우
251	0	com.briniclemobile.wibeetalk	BC우리
252	0	kr.co.dgb.dgbp	DGB
253	0	viva.republica.toss	TOSS
254	0	nh.smart.allonebank	농협
255	0	com.ibk.onebankA	기업
256	0	com.jejubank.jbank.android	제주
257	0	com.kjbank.smart.pbanking	광주
258	0	kr.co.welcomebank.sb	웰컴저축
259	0	com.hanaskcard.rocomo.potal	하나
260	0	kr.co.jbbank.smartbank	전북
261	0	com.kbstar.minibank	KB
262	0	com.wooribank.smart.dream	BC우리
264	0	com.kebhana.android.oneqinet	하나
265	0	com.eugenefn.smartchampion2	유진투자
266	2	647227242	제주
267	0	om.shcard.smartpay	신한
268	0	kr.co.bsbank.sbp.smart	BNK
269	0	com.ibk.neobanking.silver	기업
270	0	com.kbstar.kbbiz	KB
271	0	com.sbi.banking	SBI
272	0	com.kbstar.liivbank	KB
273	2	415517085	산림
274	2	0638575811	오케이저축
275	2	029666688	오케이저축
276	2	0319246600	오케이저축
277	2	0537207300	참저축
279	2	0536518245	SK증권
280	2	0647200100	제주
281	2	647200100	제주
282	2	426243671	산림
283	2	0415770900	오케이저축
284	2	529023100	하이투자
285	2	15443674	여민동락
286	2	647822454	제주
287	2	0647822454	제주
288	0	com.shinhan.sbizbank	신한
289	2	0426243671	산림
295	2	16619400	웰컴저축
296	2	0232886688	오케이저축
297	0	kr.co.maxxcard	맥스
300	2	18000500	BNK
301	0	com.shcard.smartpay	신한
302	2	0312366300	오케이저축
303	0	kr.co.welcomebank.omb	웰컴저축
304	0	com.ssg.serviceapp.android.egiftcertificate	신세계
305	0	com.hanabank.ebk.channel.android.cpb	하나
306	2	15220080	현대
307	0	com.kebhana.hanapush	하나
308	2	18990030	현대
309	0	kr.co.busanbank.mbp	BNK
310	0	com.ibk.android.ionebank	기업
312	0	gov.incheon.incheonercard	e음
313	0	com.sbi.saidabank	SBI
314	0	gov.gyeonggi.ggcard	경기지역화폐
315	2	15773339	삼성화재
316	2	16000100	DB손보
317	2	63900243	KB손보
318	2	15667711	메리츠
319	2	15771001	현대해상
320	2	18996781	현대해상
322	0	com.wooribank.smart.npib	BC우리
326	2	019114	소액결제
327	2	15773650	광주
342	2	15660123	소액결제
343	2	15448881	소액결제
345	2	15663355	소액결제
346	2	15663357	소액결제
347	2	15775500	소액결제
348	2	15883819	소액결제
349	2	15884954	소액결제
350	2	15885984	소액결제
351	2	15992583	소액결제
352	2	16000523	소액결제
353	2	16001705	소액결제
354	2	16440739	소액결제
355	2	16886410	소액결제
356	0	kr.co.cu.onbank	신협
357	0	com.lge.lgpay	LGPay
358	2	18000678	소액결제
359	0	com.knb.psb	BNK
360	2	16445330	농협
379	2	01072011444	하나
380	2	0216886410	소액결제
381	2	0221081000	소액결제
382	2	0316971004	소액결제
383	2	100	소액결제
384	2	114	소액결제
385	2	15445163	소액결제
386	2	15447772	소액결제
401	2	01029170446	하나
402	2	01072011956	하나
403	2	01063570222	KB
405	0	com.scbank.ma30	SC제일
409	0	kr.co.hanamembers.hmscustomer	하나
410	2	15440001	소액결제
411	2	15445162	소액결제
412	2	15445553	소액결제
